Name,Location,Phone,Email,Website,Room Hire Information,Bookings Contact
Barton Neighbourhood Centre,"Underhill Circus Headington Oxford OX3 9LS. Oxford
UK
(51.76786644544932, -1.1963939666748047)",01865 761987,BartonNHC@aol.com,http://www.bartoncommunityassociation.com,,Sharon Keene
Blackbird Leys Community Centre,"Blackbird Leys Road Oxford OX4 6HW. Oxford
UK
(51.72137245297274, -1.2014901638031006)",01865 402070,bblcc@oxford.gov.uk,http://www.facebook.com/OxCityCommunity,"<p>Jack Argent Room</p> 
 <p> </p> 
 <ul><li><strong>Capacity:&nbsp;</strong>60 Seated</li><li><strong>Facilities Include:</strong>&nbsp;Wifi, Tables and Chairs, Toilets, Servery, Microwave, Fridge, Freezer, Kettles</li><li><strong>Deposit&nbsp;(Single Bookings):</strong>&nbsp;&pound;100.00</li><li><strong>Commercial Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;15.00</li><li><strong>Charity Rate&nbsp;(Per Hour):</strong>&nbsp;&pound;10.00</li><li><strong>Community Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;7.50</li></ul> 
 <p> </p> 
 <p>Sports Hall</p> 
 <ul><li><strong>Capacity:</strong>&nbsp;50</li><li><strong>Facilities Include:&nbsp;</strong>Changing Rooms with Toilets and Showers</li><li><strong>Commercial Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;20.00</li><li><strong>Charity Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;15.00</li><li><strong>Community Rate&nbsp;(Per Hour): </strong>&pound;10.00 </li></ul> 
 <p>First Floor Meeting Room</p> 
 <ul><li><strong>Capacity:&nbsp;</strong>10</li><li><strong>Facilities Include:</strong>&nbsp;Wifi, Tables and Chairs, Toilets, Lift Access</li><li><strong>Commercial Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;10.00</li><li><strong>Charity Rate&nbsp;(Per Hour):&nbsp;</strong>&pound;7.50</li><li><strong>Community Rate&nbsp;(Per Hour): </strong>&pound;5.00 </li></ul> 
 <p><strong>Extra Fees: </strong>Sessions in the Jack Argent Room, Sports Hall, and Meeting Room after 3pm and at weekends will incur a caretaking fee of &pound;15.00</p> 
 <p>IT Hub</p> 
 <ul><li><strong>Capacity: </strong>12</li><li><strong>Facilities Include:</strong>&nbsp;12 PCs, Air Conditioning, Projector and Screen, PC Software includes: Microsoft Office 2010 and Photoshop</li><li><strong>Session Times:</strong>&nbsp;9am - 12pm 12pm - 3pm 3pm - 6pm 6pm - 9pm</li><li><strong>Hire Rate (Per 3 Hour Session):</strong>&nbsp;&pound;7.50</li><li><strong>Extra Fees:&nbsp;</strong>Sessions in the IT Hub after 3pm and at weekends will incur a &pound;15.00 caretaking fee and a &pound;30.00 security fee</li></ul> 
 <p> </p> 
 <p> </p> 
 <p> </p> 
 <p> </p> 
 <p> </p> 
 <p> </p>",Jayne Watson
Bullingdon Community Centre,"Peat Moors Headington Oxford OX3 7HS. Oxford
UK
(51.748112843359344, -1.2066400051116943)",01865 769263,richardb.bryant@ntlworld.com,http://www.bullingdon-community-centre.co.uk,,Chris Perks 01865 764818
Cheney Community Centre,"Cheney School Cheney Lane Oxford OX3 7QH. Oxford
UK
(51.75251324219273, -1.2231731414794922)",01865 755225,vlo@cheney.oxon.sch.uk,,,Vanessa Lonergan
Cutteslowe Community Centre,"Wren Road Cutteslowe Oxford OX2 7SX. Oxford
UK
(51.7873266, -1.2615616)",01865 311172,communitycentre@cutteslowe.co.uk,http://www.cutteslowecommunity.org.uk,,Marianna Boujon
Donnington Community Centre,"Freelands Road Iffley Oxford OX4 4BB Oxford
UK
(51.736437255281444, -1.2365412712097168)",01865 246144,,,,Phil or Vicky
East Oxford Community Centre,"Princes Street Oxford OX4 1DD. Oxford
UK
(51.748249, -1.237496)",01865 792168,eocc@oxford.gov.uk,http://www.oxford.gov.uk/eocc,"<p>Visit our <a href=""https://www.oxford.gov.uk/info/20181/community_centres/562/east_oxford_community_centre"" target=""_blank"">East Oxford Community Centre page</a> for details.</p>",Claire Ford
East Oxford Games Hall,"Collins Street Oxford OX4 1XS. Oxford
UK
(51.74770030000001, -1.2342367999999624)",01865 467050,Ccalliss@oxford.gov.uk,http://www.facebook.com/OxCityCommunity," 
  <ul><li><strong>Capacity: </strong>One large hall the size of two badminton courts</li><li><strong>Facilities Include:</strong> Sports carpet surface, two badminton courts marked out</li><li><strong>Availability:</strong> Monday to Friday, 9am - 4pm</li><li><strong>Hire Rate (Per Hour): </strong>&pound;15.00 or &pound;12.38 per hour if booked for a minimum of 10 sessions</li></ul> 
 ",Clive Calliss
Florence Park Community Centre,"Cornwallis Road Oxford OX4 3NH. Oxford
UK
(51.7349838, -1.2303924)",07864 028591,,http://www.florenceparkcommunitycentre.org.uk,"<p>Visit the <a href=""http://www.florenceparkcommunitycentre.org.uk/how-to-hire.html"" target=""_blank"">Florence Park Community Centre website</a> for information about rooms to hire and prices.</p>",Bookings Secretary
Headington Community Centre,"Gladstone Road Headington Oxford OX3 8LL. Oxford
UK
(51.760336, -1.2009347)",01865 765557,carmenr10@hotmail.com,http://www.headingtoncommunitycentre.org,,Carmen Green 01993 771361
